userName,content,score,reviewCreatedVersion,at,Sentimen (Aurel),Sentimen (Ade),Sentimen (Eky),Sentimen Akhir,translated_content
Made Darmawan,"Saya kasi bintang 1 dulu ya. Tolong diperbaiki, diberikan kemampuan untuk scroll saat layar lebih kecil dari kontennya. Contohnya saat ada di form ""Pembaharuan Syarat dan Ketentuan Layanan Program JKN-KIS"". Saya tidak bisa klik checkbox "" Setuju"" karena tidak bisa di scroll.",1,4.3.0,2023-01-22 12:04:08,-1.0,-1.0,-1.0,Negatif,"Saya kasi bintang 1 dulu ya. Tolong diperbaiki, diberikan kemampuan untuk scroll saat layar lebih kecil dari kontennya. Contohnya saat ada di form ""Pembaharuan Syarat dan Ketentuan Layanan Program JKN-KIS"". Saya tidak bisa klik checkbox "" Setuju"" karena tidak bisa di scroll."
windi tripani,"Apknya memudahkan dalam perubahan data, ngecek tagihan, melihat riwayat pembayaran, dan fitur"" dalamnya sangat membantu. Pendaftaran apk itu mudah, cukup ada pulsa, no hp dan email yg aktif. Dengan apk ini, ga perlu datang pagi"" buat ambil antrian, cukup dirumah dengn hp, kuota dan pulsa semua terselesaikan. Pulsa yang dipotong juga tdk banyak, isi 5k aja cukup. Selain di apk, ada pandawa dan chika yg membantu kita dalam perubahan data yang ada di dalam apk, terus ditingkatkan.🩷🩷🩷🩷🩷🩷🩷🩷🩷",5,4.3.0,2023-01-27 06:56:51,1.0,1.0,1.0,Positif,"Apknya memudahkan dalam perubahan data, ngecek tagihan, melihat riwayat pembayaran, dan fitur"" dalamnya sangat membantu. Pendaftaran apk itu mudah, cukup ada pulsa, no hp dan email yg aktif. Dengan apk ini, ga perlu datang pagi"" buat ambil antrian, cukup dirumah dengn hp, kuota dan pulsa semua terselesaikan. Pulsa yang dipotong juga tdk banyak, isi 5k aja cukup. Selain di apk, ada pandawa dan chika yg membantu kita dalam perubahan data yang ada di dalam apk, terus ditingkatkan.🩷🩷🩷🩷🩷🩷🩷🩷🩷"
PURLAMBANG,"Saya mau merubah data KIS saya di aplikasi jkn. Tapi layar perubahan data tdk mau membuka, sehingga sy tdk bisa melakukan perubaham data. Bagaimana solusinya ya? Tolong dong infonya. Layar tidak bisa di scroll",1,4.3.0,2023-01-27 09:16:17,-1.0,-1.0,-1.0,Negatif,"Saya mau merubah data KIS saya di aplikasi jkn. Tapi layar perubahan data tdk mau membuka, sehingga sy tdk bisa melakukan perubaham data. Bagaimana solusinya ya? Tolong dong infonya. Layar tidak bisa di scroll"
Nanang WR,"Faskes tidak bisa di search, dan yang ditampilkan hanya sesuai gps, lha kalau kita dikantor mau ubah faskes yang ditampilkan yg dekat dengan kantor, cari dekat rumah tidak muncul. Mohon diperbaiki lagi. Kalau sudah update, bintangnya akan update. Thanx",1,4.3.0,2022-12-28 01:40:56,-1.0,-1.0,-1.0,Negatif,"Faskes tidak bisa di search, dan yang ditampilkan hanya sesuai gps, lha kalau kita dikantor mau ubah faskes yang ditampilkan yg dekat dengan kantor, cari dekat rumah tidak muncul. Mohon diperbaiki lagi. Kalau sudah update, bintangnya akan update. Thanx"
Oktriyani Putri,"Kenapa ketika ingin masuk akun ada pendaftaran akun debit, dan ketika di klik tidak tersedia bank bni, yang hanya ada mandiri, bri, btn, dan bca. Dan bagi yang punya kartu rekening bank bni gimana? Kan jdi ngk bisa mendaftar, di coba pkai bank lain dengan nomor rekening yang ada juga ngk bisa masuk, jdi susah masuk akun lagi, Ketika awal pendaftaran tidak ada pkai pendaftaran autodebitnya, tolong penjelasannya",1,4.3.0,2023-01-10 02:22:07,-1.0,-1.0,-1.0,Negatif,"Kenapa ketika ingin masuk akun ada pendaftaran akun debit, dan ketika di klik tidak tersedia bank bni, yang hanya ada mandiri, bri, btn, dan bca. Dan bagi yang punya kartu rekening bank bni gimana? Kan jdi ngk bisa mendaftar, di coba pkai bank lain dengan nomor rekening yang ada juga ngk bisa masuk, jdi susah masuk akun lagi, Ketika awal pendaftaran tidak ada pkai pendaftaran autodebitnya, tolong penjelasannya"
Ini Ono,"Semua menu menampilkan ""Permintaan anda belum dapat di akses"" gak berfungsi bgt !!! --- Menu yang langsung tampil BAGUS ketika buka menu 'IURAN' langsung tampil tagihan. Aplikasi gak guna banget !!!",1,4.3.0,2023-01-06 12:47:03,-1.0,-1.0,-1.0,Negatif,"Semua menu menampilkan ""Permintaan anda belum dapat di akses"" gak berfungsi bgt !!! --- Menu yang langsung tampil BAGUS ketika buka menu 'IURAN' langsung tampil tagihan. Aplikasi gak guna banget !!!"
Rismawati _S,"Aplikasi terlalu ribett, bukannya mempermudah tapi malah mempersulit untuk mengakses. Harusnya pada saat daftar akun tidak perlu pakai kode nomor dengan tambahan biaya pulsa, harusnya kode langsung di kirim pada aplikasi Whatsapp.",1,4.3.0,2023-01-27 12:04:18,-1.0,-1.0,-1.0,Negatif,"Aplikasi terlalu ribett, bukannya mempermudah tapi malah mempersulit untuk mengakses. Harusnya pada saat daftar akun tidak perlu pakai kode nomor dengan tambahan biaya pulsa, harusnya kode langsung di kirim pada aplikasi Whatsapp."
Puspitasari Ifan,"setelah saya download dan login kembali, tp yg muncul terus PIN utk verifikasi, lwat sms kq gak ad PIN ny.. senentara tampilan gk bsa dibuka. jd gak bsa digunakab, dan sllu mnta pembaruan trus apk ni tp bkn ny gampang malah tambah ribet dan susah.",1,4.3.0,2023-01-05 04:05:51,-1.0,-1.0,-1.0,Negatif,"setelah saya download dan login kembali, tp yg muncul terus PIN utk verifikasi, lwat sms kq gak ad PIN ny.. senentara tampilan gk bsa dibuka. jd gak bsa digunakab, dan sllu mnta pembaruan trus apk ni tp bkn ny gampang malah tambah ribet dan susah."
Adam Sulaeman,"Setelah update aplikasinya, data di fitur Pendaftaran Pelayanan (antrean) malah hilang, Belum ada rujukan katanya, padahal waktu belum di update lengkap datanya... skrg malah ga bs daftar antrean coz data rujukan nya hilang di aplikasi. Updatenya menyusahkan masyarakat....",1,4.3.0,2023-01-01 09:17:00,-1.0,-1.0,-1.0,Negatif,"Setelah update aplikasinya, data di fitur Pendaftaran Pelayanan (antrean) malah hilang, Belum ada rujukan katanya, padahal waktu belum di update lengkap datanya... skrg malah ga bs daftar antrean coz data rujukan nya hilang di aplikasi. Updatenya menyusahkan masyarakat...."
Hajriah Nur,"Formasinya sudah bagus banyak menu, tapi pas saya mau merubah data faskes dan alamat hanya salah satu anggota, ternyata malah seluruh anggota kerubah semua, harusnya bisa juga dong saat tidak sesuai ke inginan bisa di rubah kembali, ini malah suruh nunggu 3 bulan baru bisa rubah kembali data nya, kan kelamaan, padahal sakit gak bisa di prediksi. Bad aplikasi",1,4.3.0,2023-01-01 13:26:00,-1.0,-1.0,-1.0,Negatif,"Formasinya sudah bagus banyak menu, tapi pas saya mau merubah data faskes dan alamat hanya salah satu anggota, ternyata malah seluruh anggota kerubah semua, harusnya bisa juga dong saat tidak sesuai ke inginan bisa di rubah kembali, ini malah suruh nunggu 3 bulan baru bisa rubah kembali data nya, kan kelamaan, padahal sakit gak bisa di prediksi. Bad aplikasi"
